"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Igf2os",0.789136007576422,-3.15189969174551,3.84239743447664,-0.820295075013452,0.412047913308477,0.981070695377742,"Igf2os"
"Igf2r",16193.4493819817,-0.0934068394514848,0.173590477347519,-0.538087347179128,0.590516747278137,0.999829069205013,"Igf2r"
"Igfals",5.5455111646473,2.83513885087485,1.81650866133794,1.56076263836069,0.118579765799747,0.900247600782255,"Igfals"
"Igfbp2",316.000574216745,-0.742930757406123,0.805564941039099,-0.922248126200497,0.356399165135159,0.974979859025321,"Igfbp2"
"Igfbp3",2662.30493591321,-0.554883958678119,0.532552687035212,-1.04193251144263,0.297442969614278,0.96265550446783,"Igfbp3"
"Igfbp4",2937.56563111132,0.0156042528720625,0.45891838759018,0.0340022393829146,0.972875364965787,0.999829069205013,"Igfbp4"
"Igfbp5",822.83366699777,0.824754769535258,0.772323653676115,1.06788749199844,0.285571265320685,0.959688313558579,"Igfbp5"
"Igfbp6",1069.55992752378,0.845406329122063,0.413180297873837,2.04609545390329,0.040746980193995,0.831341192061674,"Igfbp6"
"Igfbp7",4807.57518972077,-0.625902286039072,0.591501157886532,-1.05815902081318,0.289982950301374,0.959688313558579,"Igfbp7"
"Igfbpl1",1.96422532165477,0.922820676336377,3.17383436576203,0.290758927526708,0.771235699871214,0.999829069205013,"Igfbpl1"
"Igflr1",33.9706335732126,-0.274655746764312,0.664651034430405,-0.413233008806926,0.679435906116812,0.999829069205013,"Igflr1"
"Igfn1",0.557869547574872,-15.5802711623253,6.08573183201754,-2.56013107254516,0.0104632691849008,0.676832531275225,"Igfn1"
"Igha",22.8013293164428,-0.342621938167574,1.26868050072061,-0.270061641187805,0.787112831871882,0.999829069205013,"Igha"
"Ighd",9.92725144242388,-0.868075996389318,0.948158672498835,-0.915538740052377,0.359908874557424,0.974979859025321,"Ighd"
"Ighg1",2.14671984215875,-3.36584638026457,3.27929669577366,-1.02639275811867,0.30470649019748,0.963630246845888,"Ighg1"
"Ighg2b",3.9995856885949,-2.05787458711039,1.79507258179711,-1.14640188256354,0.251628904123497,0.951082264845228,"Ighg2b"
"Ighg2c",2.83660220531533,-0.337058450331762,2.63375622687333,-0.127976327836499,0.898167706627913,0.999829069205013,"Ighg2c"
"Ighg3",0.653910123382862,-1.59146080540614,4.09018329211279,-0.389092784295266,0.697207511050299,0.999829069205013,"Ighg3"
"Ighm",216.571811778841,0.609521821135656,0.601001910569522,1.01417617883787,0.310498693126134,0.965170524957577,"Ighm"
"Ighmbp2",284.21736693138,-0.106309753396867,0.163918854109238,-0.648551101546995,0.516628570438726,0.998983779338432,"Ighmbp2"
"Igip",396.724243248975,0.111161217387012,0.204105362212256,0.544626638821039,0.586010329567031,0.999829069205013,"Igip"
"Igkc",19.0587981650092,-0.308529124314984,1.10173971901496,-0.280038124241208,0.779448255646906,0.999829069205013,"Igkc"
"Iglc1",0.552850053538602,-0.778431115906584,5.11061558984151,-0.152316507125656,0.878937306023499,0.999829069205013,"Iglc1"
"Iglc2",1.97379245306365,-0.787836137063733,1.83649373570275,-0.428989286349111,0.667931021456632,0.999829069205013,"Iglc2"
"Iglc3",4.00710356590836,0.86248192065573,1.533099972422,0.562573828302388,0.573725117622259,0.999829069205013,"Iglc3"
"Igll1",1.14522120702783,-1.52065271451264,2.26019954759684,-0.672795778642411,0.501077223716707,0.998499461675996,"Igll1"
"Iglon5",84.341503260311,-0.0678860667183886,0.563713056892489,-0.120426635303812,0.904145193017184,0.999829069205013,"Iglon5"
"Iglv1",0.687265637554394,0.154275482580138,4.01774011958988,0.038398571830944,0.969369899657646,0.999829069205013,"Iglv1"
"Iglv2",0.0398812132884516,0.490262430842799,6.13593715639234,0.0799001714566208,0.936316653464519,0.999829069205013,"Iglv2"
"Iglv3",0.794816074821096,-0.0545703542508682,5.47349519875243,-0.00996992822124085,0.992045279982668,0.999829069205013,"Iglv3"
"Igsf1",0.146132793121882,0.43696887735884,6.13338726638798,0.0712442991743739,0.94320332532458,0.999829069205013,"Igsf1"
"Igsf10",1278.14164682409,-0.0922459866911304,0.426196225964564,-0.216440177250186,0.828644651471554,0.999829069205013,"Igsf10"
"Igsf11",26.8191010918303,-0.298682637088401,0.566945545216885,-0.526827734353465,0.598313221302783,0.999829069205013,"Igsf11"
"Igsf21",0.45432269220622,1.38883376631309,6.10389042840716,0.227532552001512,0.820009660092959,0.999829069205013,"Igsf21"
"Igsf23",2.25395856589602,0.0545723486146572,1.41524242114143,0.0385604245600858,0.969240855435523,0.999829069205013,"Igsf23"
"Igsf3",603.98822144514,-0.128517494186351,0.323438313934903,-0.397347774364843,0.691111022076577,0.999829069205013,"Igsf3"
"Igsf5",2.79649797569024,0.115435967401391,1.34812668484182,0.0856269434462942,0.931762979342775,0.999829069205013,"Igsf5"
"Igsf6",5884.86673686774,0.0957206014240408,0.247463244064815,0.386807349050067,0.698898836177909,0.999829069205013,"Igsf6"
"Igsf8",2987.84011298857,-0.0279157099626039,0.152825326170386,-0.182664160856954,0.855061538062924,0.999829069205013,"Igsf8"
"Igsf9",182.374524662074,-0.113509923765885,0.47882235250509,-0.237060620023327,0.812609762302238,0.999829069205013,"Igsf9"
"Igsf9b",42.6095336982518,0.371040579947553,0.727724608503743,0.509864000216292,0.610146744338546,0.999829069205013,"Igsf9b"
"Igtp",1059.34619862057,0.256220562643626,0.27927516246382,0.917448441827762,0.358907698403052,0.974979859025321,"Igtp"
"Ihh",3.02723838513376,-1.38473551487037,1.45400388513179,-0.952360257789035,0.340914307541053,0.973282481127095,"Ihh"
"Iigp1",805.614864848641,0.495104686789144,0.562569335857757,0.880077628181158,0.378817257634881,0.974979859025321,"Iigp1"
