"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",40,0.46070666193455,1.56576607128704,0.0141972706694388,0.0441926911935942,0.027716052376696,4149,"tags=35%, list=23%, signal=27%","Fars2/Sars2/Pars2/Vars2/Kars/Qars/Farsa/Tarsl2/Sars/Rars2/Hars/Rars/Cars2/Yars2"
"HE_LIM_SUN_FETAL_LUNG_C0_EARLY_FIBROBLAST","HE_LIM_SUN_FETAL_LUNG_C0_EARLY_FIBROBLAST",81,0.377111650661489,1.47381172812104,0.0142639269743651,0.0442688147813875,0.0277637943288015,5871,"tags=54%, list=33%, signal=37%","Ube2t/Ccnb2/Pimreg/Cenpm/Bcl11a/Nsg1/Sfrp1/Birc5/Kif20a/Ccna2/Tenm3/Fzd2/Zfp458/Aurkb/Cdc20/Msmo1/Orc6/Clspn/Hnrnpa1/Ccnb1/Ctps/Mki67/Gins2/Cenpf/Chaf1a/Uhrf1/Cdk1/Mcm4/Tyms/Top2a/Nusap1/Kpna2/Mad2l1/H1f1/Rasl11b/Spc25/Igf2bp1/Fbxo5/Cenpk/Cenpn/H2ac10/Mcm7/Zwint/Cdca5"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",101,-0.300374769993404,-1.36504846572042,0.0147019025015806,0.0454934977113808,0.028531871024648,1926,"tags=24%, list=11%, signal=21%","Arid5b/Zbtb10/Tpd52/Dnajb9/Appbp2/Cdc14b/Gnai3/Camkk2/Mak/Pmepa1/Rab4a/Ube2i/Krt8/Sat1/Tnfaip8/Uap1/Itgav/Gsr/Aldh1a3/Elk4/Mertk/Iqgap2/Zmiz1/B4galt1"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",28,0.498240618290042,1.57242515490247,0.0149361277742403,0.0460823471622884,0.0289011760337467,2314,"tags=36%, list=13%, signal=31%","Chga/Pklr/Slc2a2/Dcx/Pax6/Elp4/Srprb/Syt13/Pak3/Isl1"
"GAUTAM_EYE_IRIS_CILIARY_BODY_ACTIVATED_T_CELLS","GAUTAM_EYE_IRIS_CILIARY_BODY_ACTIVATED_T_CELLS",121,-0.297635294742415,-1.39812001974821,0.0150676079431957,0.0463516737020889,0.0290700878669465,5495,"tags=45%, list=31%, signal=32%","H2bc6/Card11/Rps6ka3/Sap30/Tcf7/Chst12/Atp5l/Dgkz/Tnfrsf1b/Clic1/Maf/Slamf1/Spn/Iqgap1/Synrg/Herpud2/Cmpk1/Tmem71/Zfand2a/P2ry10/Mbnl1/Sfi1/Ugp2/Ubald2/Nap1l4/Ofd1/Adam8/Patl2/Glrx/Abhd3/Prpf38b/Fgd3/Fli1/Atf7ip/Vsir/Il23a/Il18rap/Cybc1/Atxn1/Whamm/Hypk/Rock1/Ripor2/Ezr/Arid5a/H1f4/St3gal1/Rasa2/Tnfsf14/Lrrfip1/Rbl2/Terf2ip/Mgat4a/Lpin2/Ankrd12"
"DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES","DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES",68,0.391448361866962,1.47799383239875,0.0151857562671545,0.0465785331118278,0.0292123658570994,4505,"tags=37%, list=25%, signal=28%","Plaat1/Cldn11/Gdf6/Hapln1/Ugt8a/Pcdh15/Car10/Dbx2/Pdgfra/D7Ertd443e/Erbb3/Lhfpl3/Col11a1/Gpr17/Gal3st1/Enpp6/Apod/Pcdh11x/Myrf/Lgr5/Rlbp1/B3gnt7/Zfp365/Plxnb3/Tnr"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",65,-0.358535544449725,-1.50502161560927,0.0152605383030931,0.0465972845082465,0.0292241260525353,5071,"tags=52%, list=28%, signal=38%","Pck1/Nfkbib/Rxrb/Tnfrsf1b/Pomc/Prkag2/Akt3/Mapk9/Lepr/Stat3/Prkab2/Rxrg/Acsl6/Stk11/Acsl4/Adipoq/Slc2a4/Adipor2/Jak2/Ikbkb/Prkaa1/Prkab1/Socs3/Irs2/Rela/Ikbkg/Camkk2/Nfkbia/Rxra/Camkk1/Adipor1/Chuk/Cpt1a/Akt2"
"MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS","MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS",78,-0.341641723053327,-1.49437925572435,0.0153251317019495,0.0465972845082465,0.0292241260525353,2473,"tags=27%, list=14%, signal=23%","Luc7l3/Lypd1/Dach1/Brd3/Tpr/Baz1b/Bdp1/Dek/Rif1/Ccdc88a/Usp1/Bptf/Supt16/Rsf1/Atrx/Nktr/Rbm25/Spen/Baz2b/Ankrd11/Smc3"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE","KEGG_HEMATOPOIETIC_CELL_LINEAGE",76,-0.336666278934435,-1.46298776424348,0.0153184527485467,0.0465972845082465,0.0292241260525353,3409,"tags=33%, list=19%, signal=27%","Cd34/Csf3/Epor/Il1r2/Il1b/Cd55/Cd14/Il5ra/Itga3/Kitl/Il11/Il4ra/Cr1l/Il2ra/Cd44/Itga6/Cd33/Gp5/Cd1d1/Cd38/Csf3r/Il1a/Cd59b/Itga2/Il6ra"
"DESCARTES_MAIN_FETAL_THYMIC_EPITHELIAL_CELLS","DESCARTES_MAIN_FETAL_THYMIC_EPITHELIAL_CELLS",128,0.335658830715088,1.40001359358028,0.0155156177972507,0.0470401244777919,0.0295018592129045,4158,"tags=33%, list=23%, signal=25%","Fam163a/Slc46a2/Pask/Gpld1/Psmb11/Kyat1/Guca1b/Cyp3a11/Col19a1/Trappc12/Ano9/Clec2l/Slit3/Parp3/Cacna1i/Zcwpw1/Gli2/Qtrt2/Dnase1l2/Col27a1/Mtcl1/Gucy2f/Drp2/Atp10b/Clec1a/Sh3rf3/Uba7/Exoc3l4/Mtg1/Nubp2/Oxct1/Lhfpl1/Adamts17/Snx19/Icam5/Eya2/Pax1/Nxn/Kremen2/Gga2/Frs3/Mov10"
"CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL","CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL",132,-0.287944913397756,-1.37795956007481,0.0157203563017457,0.0475234978689661,0.0298050134645566,4393,"tags=40%, list=25%, signal=31%","Car5b/Nr4a2/Aqp1/Hspb8/Stc1/Ccdc3/Cemip2/Ccl4/Ifi27/Serpinb1a/C7/Nfil3/Ctsl/Angptl2/Spock3/Itprip/Rcan1/S100b/Pthlh/Fosl2/Ackr3/Cd55/Gja1/Nampt/Klf9/Cxcl1/F5/Ifi27l2b/Tnfaip6/Dusp5/Ptgs2/Cxcl2/Tiparp/Net1/Rhou/Ccl20/Optn/Socs3/Arid5a/Cd44/Cdkn1a/Hbegf/Mcl1/Dkk2/Sell/Itgb4/Cystm1/Cryab/Thbd/Pi16/Cxcl3/Plin2/Gadd45a"
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",75,-0.356672650311999,-1.54354438421936,0.0159992606844164,0.0480894683608964,0.0301599696207519,4961,"tags=40%, list=28%, signal=29%","Mapk14/Prkce/Pik3r5/Pik3cd/Rac1/Akt3/Plcg2/Btk/Mapk9/Pik3r1/Rac3/Pla2g4a/Mapk1/Vav3/Nras/Pdpk1/Vav1/Map2k1/Lcp2/Lyn/Raf1/Pik3cg/Inpp5d/Syk/Pik3ca/Kras/Sos2/Sos1/Gab2/Akt2"
"DESCARTES_FETAL_HEART_SCHWANN_CELLS","DESCARTES_FETAL_HEART_SCHWANN_CELLS",52,0.423474000934447,1.52406540021962,0.0159965202556715,0.0480894683608964,0.0301599696207519,2670,"tags=35%, list=15%, signal=30%","Angptl7/Megf10/Mia/Col28a1/Tspan11/Metrn/Artn/Plekha4/Erbb3/Mmd2/Nlgn3/Zfp536/Gpr17/Atp10b/Aldh1a7/Tenm3/Col22a1/Olfml2a"
"HE_LIM_SUN_FETAL_LUNG_C1_MID_AIRWAY_PROGENITOR_CELL","HE_LIM_SUN_FETAL_LUNG_C1_MID_AIRWAY_PROGENITOR_CELL",14,0.623943700985768,1.62221913483013,0.0165507106667405,0.0496048442554594,0.0311103583961288,4106,"tags=50%, list=23%, signal=39%","Cdh10/Mttp/Col6a2/Grhl1/Frmd3/Palmd/Thsd4"
"TRAVAGLINI_LUNG_CAPILLARY_AEROCYTE_CELL","TRAVAGLINI_LUNG_CAPILLARY_AEROCYTE_CELL",41,0.436811708115298,1.48940939465353,0.0168219192136897,0.0502740548580071,0.0315300630036169,3577,"tags=37%, list=20%, signal=29%","Sostdc1/Cyp3a11/Tgfbr3/Exph5/Inmt/Rtn1/Gpx3/Lgals1/Sparc/B3galnt1/Tuba1a/Hpgd/Slc14a1/Slc12a2/Adgrl2"
"DESCARTES_MAIN_FETAL_BIPOLAR_CELLS","DESCARTES_MAIN_FETAL_BIPOLAR_CELLS",44,0.448457750911757,1.55085198992902,0.0169299251155432,0.0504531006994456,0.0316423540586559,4234,"tags=41%, list=24%, signal=31%","Nckap5/Fstl5/Cadps/Grik1/Zfp385b/Fam234b/Car10/Prickle2/Dscam/Tmem215/Cacna2d4/Nfib/Lhx4/Tmem132e/Lrrc1/Nyap2/Glra1/Trmt9b"
"KEGG_BUTANOATE_METABOLISM","KEGG_BUTANOATE_METABOLISM",30,0.484102600720034,1.55007861850737,0.0169952454768289,0.0505042847172621,0.0316744548174089,3156,"tags=30%, list=18%, signal=25%","Acat1/Hmgcs1/Abat/Aacs/Hadh/Aldh7a1/Aldh5a1/Bdh1/Oxct1"
