"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Rdh13",751.946179494474,0.000110160362132571,0.171160734433601,0.000643607673787509,0.999486475409324,0.999994317097505,"Rdh13"
"Rdh14",352.980736033223,0.154465034515029,0.112081628106077,1.378147669026,0.16815770042359,0.999994317097505,"Rdh14"
"Rdh16",10.5230251427501,3.13636422885994,0.955627367412881,3.28199498655093,0.00103075437733295,0.254109586078609,"Rdh16"
"Rdh16f1",7.89244036865026,20.0248099322616,4.31844590817653,4.6370408146937,NA,NA,"Rdh16f1"
"Rdh19",0.787233981658529,2.25097544867638,3.40114709984958,0.661828313387544,0.508081258425334,0.999994317097505,"Rdh19"
"Rdh5",71.5223302404031,0.262032878379758,0.249723375990594,1.04929255156965,0.294043493078525,0.999994317097505,"Rdh5"
"Rdh8",4.20557507321115,-1.03034847251725,0.854812471582254,-1.20535030403813,0.228068097654928,0.999994317097505,"Rdh8"
"Rdh9",9.53452101963125,0.581574362631988,1.04287018457431,0.557667072311,0.577071746482253,0.999994317097505,"Rdh9"
"Rdm1",159.217826041627,0.0423798297450244,0.200603252953175,0.211261926818887,0.832682890405929,0.999994317097505,"Rdm1"
"Rdx",3053.3945389575,-0.0625504468838441,0.0722480981038394,-0.865772920332695,0.386614702153241,0.999994317097505,"Rdx"
"Rec114",7.36292120788274,0.325377287499565,0.810817333150743,0.401295426474403,0.688202630426486,0.999994317097505,"Rec114"
"Rec8",3.63974843707384,2.48342442078949,1.36540943630897,1.81881299099762,0.0689399657515966,0.91524636656009,"Rec8"
"Reck",276.632316618583,0.123074049922581,0.244830936007403,0.502689945680965,0.615182279691223,0.999994317097505,"Reck"
"Recql",683.397842016116,0.124400661107741,0.0896687220557299,1.38733616645529,0.165339279780642,0.999994317097505,"Recql"
"Recql4",86.2026560159384,0.121103673084634,0.330231908160347,0.366723112128314,0.713825564918272,0.999994317097505,"Recql4"
"Recql5",560.711154382327,0.0352248892676961,0.120211688766686,0.293023828457005,0.769503938226495,0.999994317097505,"Recql5"
"Recql5os1",0.0841873403248974,0.580603747565457,4.43427979218429,0.130935298351901,0.895826490999323,0.999994317097505,"Recql5os1"
"Redrum",2.48999252309152,0.460463514593771,1.02672265105257,0.448478967637184,0.653807561935531,0.999994317097505,"Redrum"
